Time (s);Transverse position (mm);Longitudinal position (mm);Transverse velocity (mm/s);Longitudinal velocity (mm/s)
2,90;0,13;24,05;0,24;39,09
2,93;0,12;23,56;−0,06;−14,85
2,97;0,13;23,39;0,24;−5,00
3,00;0,13;23,80;0,00;12,42
3,03;0,11;25,14;−0,58;40,61
3,07;0,14;24,60;0,68;−15,88
3,10;0,13;24,30;−0,18;−9,09
3,13;0,13;24,97;−0,12;20,30
3,17;0,10;26,31;−0,68;39,41
3,20;0,10;25,74;−0,06;−17,27
3,23;0,11;25,41;0,30;−10,00
3,27;0,11;25,96;−0,09;16,18
3,30;0,08;27,37;−0,88;42,73
3,33;0,08;26,79;0,06;−17,58
3,37;0,10;26,64;0,47;−4,41
3,40;0,09;27,11;−0,24;14,24
3,43;0,07;28,44;−0,48;40,30
3,47;0,06;27,98;−0,26;−13,53
3,50;0,08;27,60;0,52;−11,52
3,53;0,07;28,25;−0,24;19,70
3,57;0,08;29,70;0,32;42,65
3,60;0,07;29,01;−0,48;−20,91
3,63;0,05;28,76;−0,48;−7,58
3,67;0,07;29,27;0,59;15,00
3,70;0,08;30,67;0,24;42,42
3,73;0,09;30,09;0,42;−17,58
3,77;0,09;29,84;−0,15;−7,35
3,80;0,11;30,40;0,67;16,97
3,83;0,13;31,73;0,67;40,30
3,87;0,13;31,31;−0,18;−12,35
3,90;0,11;30,96;−0,36;−10,61
3,93;0,12;31,46;0,18;15,15
3,97;0,13;32,99;0,18;45,00
4,00;0,13;32,30;0,03;−20,91
4,03;0,12;32,07;−0,24;−6,97
4,07;0,12;32,68;0,00;17,94
4,10;0,13;33,90;0,21;36,97
4,13;0,10;33,46;−0,85;−13,33
4,17;0,10;33,16;0,09;−8,82
4,20;0,10;33,70;−0,06;16,36
4,23;0,14;35,06;1,33;41,21
4,27;0,14;34,50;−0,24;−16,47
4,30;0,14;34,21;0,00;−8,79
4,33;0,16;34,71;0,82;15,15
4,37;0,18;36,22;0,47;44,41
4,40;0,17;35,62;−0,24;−18,18
4,43;0,17;35,37;−0,06;−7,58
4,47;0,17;36,05;0,09;20,00
4,50;0,17;37,03;−0,09;29,70
4,53;0,16;36,55;−0,33;−14,55
4,57;0,15;36,40;−0,24;−4,41
4,60;0,16;36,74;0,33;10,30
4,63;0,15;38,30;−0,27;47,27
4,67;0,14;37,66;−0,24;−18,82
4,70;0,14;37,39;−0,15;−8,18
4,73;0,14;37,94;0,09;16,67
4,77;0,10;39,38;−1,35;42,35
4,80;0,11;38,84;0,42;−16,36
4,83;0,12;38,52;0,36;−9,70
4,87;0,10;39,21;−0,53;20,29
4,90;0,07;40,50;−0,91;39,09
4,93;0,08;39,93;0,27;−17,27
4,97;0,09;39,68;0,26;−7,35
5,00;0,07;40,16;−0,52;14,55
5,03;0,03;41,55;−1,27;42,12
5,07;0,05;41,03;0,65;−15,29
5,10;0,06;40,81;0,21;−6,67
5,13;0,05;41,36;−0,42;16,67
5,17;0,02;42,61;−0,91;36,76
5,20;0,03;42,16;0,39;−13,64
5,23;0,04;41,81;0,24;−10,61
5,27;0,02;42,41;−0,41;17,65
5,30;−0,02;43,82;−1,18;42,73
5,33;0,01;43,16;0,70;−20,00
5,37;0,02;42,94;0,41;−6,47
5,40;0,01;43,43;−0,36;14,85
5,43;−0,03;44,87;−1,24;43,64
5,47;−0,03;44,30;0,15;−16,76
5,50;−0,02;44,07;0,21;−6,97
5,53;−0,03;44,65;−0,24;17,58
5,57;−0,02;45,99;0,29;39,41
5,60;−0,03;45,55;−0,24;−13,33
5,63;−0,02;45,22;0,06;−10,00
5,67;−0,03;45,68;−0,06;13,53
5,70;0,00;47,10;0,88;43,03
5,73;0,00;46,46;−0,06;−19,39
5,77;−0,02;46,24;−0,56;−6,47
5,80;−0,02;46,83;−0,03;17,88
5,83;0,00;48,20;0,70;41,52
5,87;0,00;47,64;−0,12;−16,47
5,90;0,00;47,31;0,00;−10,00
5,93;0,03;47,94;0,79;19,09
5,97;0,03;49,34;0,24;41,18
6,00;0,02;48,82;−0,30;−15,76
6,03;0,02;48,60;−0,21;−6,67
6,07;0,03;49,01;0,38;12,06
6,10;0,07;50,35;1,33;40,61
6,13;0,06;49,81;−0,42;−16,36
6,17;0,03;49,56;−0,76;−7,35
6,20;0,05;50,18;0,55;18,79
6,23;0,07;51,47;0,67;39,09
6,27;0,07;50,95;−0,03;−15,29
6,30;0,08;50,61;0,18;−10,30
6,33;0,08;51,16;0,15;16,67
6,37;0,11;52,50;0,71;39,41
6,40;0,09;51,95;−0,42;−16,67
6,43;0,10;51,78;0,15;−5,15
6,47;0,11;52,25;0,41;13,82
6,50;0,07;53,49;−1,30;37,58
6,53;0,08;53,03;0,15;−13,94
6,57;0,08;52,71;0,21;−9,41
6,60;0,07;53,31;−0,30;18,18
6,63;0,05;54,72;−0,76;42,73
6,67;0,05;54,10;0,15;−18,24
6,70;0,06;53,84;0,09;−7,88
6,73;0,03;54,35;−0,64;15,45
6,77;0,02;55,64;−0,47;37,94
6,80;0,03;55,19;0,33;−13,64
6,83;0,02;54,98;−0,24;−6,36
6,87;0,02;55,45;−0,18;13,82
